Times;CH3 CH 3;CH4 CH 4;CH5 CH 5
19.413 730 ms;0;0;1
19.415 850 ms;0;0;0
19.486 640 ms;0;0;1
19.486 700 ms;1;0;1
19.490 850 ms;1;0;0
19.490 910 ms;0;0;0
19.492 400 ms;0;0;1
19.494 520 ms;0;0;0
19.586 260 ms;0;0;1
19.588 390 ms;0;0;0
19.663 900 ms;0;0;1
19.666 030 ms;0;0;0
19.758 790 ms;0;0;1
19.760 920 ms;0;0;0
19.763 780 ms;0;0;1
19.763 840 ms;1;0;1
19.767 970 ms;1;0;0
19.768 030 ms;0;0;0
19.845 060 ms;0;0;1
19.847 180 ms;0;0;0
19.914 080 ms;0;0;1
19.916 200 ms;0;0;0
20.017 590 ms;0;0;1
20.019 710 ms;0;0;0
20.040 920 ms;0;0;1
20.040 980 ms;1;0;1
20.045 130 ms;1;0;0
20.045 190 ms;0;0;0
20.092 300 ms;0;0;1
20.092 330 ms;0;1;1
20.092 360 ms;1;1;1
20.094 320 ms;1;1;0
20.094 340 ms;1;0;0
20.094 370 ms;0;0;0
20.103 860 ms;0;0;1
20.105 980 ms;0;0;0
20.190 130 ms;0;0;1
20.192 250 ms;0;0;0
20.276 400 ms;0;0;1
20.278 510 ms;0;0;0
20.318 050 ms;0;0;1
20.318 110 ms;1;0;1
20.322 240 ms;1;0;0
20.322 300 ms;0;0;0
20.354 030 ms;0;0;1
20.356 150 ms;0;0;0
20.448 930 ms;0;0;1
20.451 040 ms;0;0;0
20.535 190 ms;0;0;1
20.537 320 ms;0;0;0
20.595 190 ms;0;0;1
20.595 250 ms;1;0;1
20.599 400 ms;1;0;0
20.599 460 ms;0;0;0
20.621 460 ms;0;0;1
20.623 580 ms;0;0;0
20.681 840 ms;0;0;1
20.683 970 ms;0;0;0
20.724 980 ms;0;0;1
20.727 100 ms;0;0;0
20.828 500 ms;0;0;1
20.830 620 ms;0;0;0
20.872 330 ms;0;0;1
20.872 390 ms;1;0;1
20.876 520 ms;1;0;0
20.876 580 ms;0;0;0
20.897 510 ms;0;0;1
20.899 630 ms;0;0;0
21.044 160 ms;0;0;1
21.046 290 ms;0;0;0
21.070 040 ms;0;0;1
21.072 160 ms;0;0;0
21.149 470 ms;0;0;1
21.149 520 ms;1;0;1
21.153 670 ms;1;0;0
21.153 730 ms;0;0;0
21.225 320 ms;0;0;1
21.227 440 ms;0;0;0
21.302 960 ms;0;0;1
21.305 080 ms;0;0;0
21.397 850 ms;0;0;1
21.399 970 ms;0;0;0
21.426 600 ms;0;0;1
21.426 660 ms;1;0;1
21.430 790 ms;1;0;0
21.430 850 ms;0;0;0
21.466 870 ms;0;0;1
21.468 760 ms;0;0;0
21.631 760 ms;0;0;1
21.631 790 ms;0;1;1
21.631 810 ms;1;1;1
21.633 770 ms;1;1;0
21.633 790 ms;1;0;0
21.633 820 ms;0;0;0
21.703 740 ms;0;0;1
21.703 800 ms;1;0;1
21.707 950 ms;1;0;0
21.708 010 ms;0;0;0
21.980 880 ms;0;0;1
21.980 930 ms;1;0;1
21.987 420 ms;1;0;0
21.987 480 ms;0;0;0
22.258 020 ms;0;0;1
22.258 080 ms;1;0;1
22.264 580 ms;1;0;0
22.264 640 ms;0;0;0
22.311 870 ms;0;0;1
